DEBUG 2018-03-24 22:36:29[6820] : ------------------DuiVision??????-2.8.0.1 Start-------------------
DEBUG 2018-03-24 22:36:29[6820] : CDuiHandlerMain::OnDuiMessage:uID=905, name=skin.wnd, msg=1, wParam=17819492, lParam=0
DEBUG 2018-03-24 22:36:29[6820] : CDuiHandlerMain::OnDuiMessage:uID=905, name=skin.wnd, msg=2, wParam=0, lParam=17819480
ERROR 2018-03-24 22:36:30[6820] : Load UI plugin DuiPluginDemo_d.dll failed, errorcode is 2
DEBUG 2018-03-24 22:36:30[6820] : CDuiHandlerMain::OnDuiMessage:uID=1188, name=tab1, msg=-5501, wParam=17812272, lParam=17812288
DEBUG 2018-03-24 22:36:30[6820] : CDuiHandlerMain::OnDuiMessage:uID=1188, name=tab1, msg=-5502, wParam=17812272, lParam=17812288
DEBUG 2018-03-24 22:36:30[6820] : CDuiHandlerMain::OnDuiMessage:uID=1188, name=tab1, msg=-709, wParam=17811712, lParam=17811728
DEBUG 2018-03-24 22:36:30[6820] : CDuiHandlerMain::OnDuiMessage:uID=1188, name=tab1, msg=250, wParam=17786352, lParam=0
DEBUG 2018-03-24 22:36:30[6820] : CDuiHandlerMain::OnDuiMessage:uID=1188, name=tab1, msg=106, wParam=17795132, lParam=0
DEBUG 2018-03-24 22:36:30[6820] : CDuiHandlerMain::OnDuiMessage:uID=1188, name=tab1, msg=105, wParam=17795452, lParam=0
DEBUG 2018-03-24 22:36:30[6820] : CDuiHandlerMain::OnDuiMessage:uID=1188, name=tab1, msg=105, wParam=17795452, lParam=0
DEBUG 2018-03-24 22:36:30[6820] : CDuiHandlerMain::OnDuiMessage:uID=905, name=skin.wnd, msg=1, wParam=17820196, lParam=0
DEBUG 2018-03-24 22:36:30[6820] : CDuiHandlerMain::OnDuiMessage:uID=905, name=skin.wnd, msg=2, wParam=0, lParam=17820184
DEBUG 2018-03-24 22:36:30[6820] : CDuiHandlerMain::OnDuiMessage:uID=1189, name=ie_ctrl, msg=102, wParam=17815200, lParam=0
DEBUG 2018-03-24 22:36:30[6820] : CDuiHandlerMain::OnDuiMessage:uID=1189, name=ie_ctrl, msg=108, wParam=17821640, lParam=0
DEBUG 2018-03-24 22:36:30[6820] : CDuiHandlerMain::OnDuiMessage:uID=1189, name=ie_ctrl, msg=108, wParam=17821640, lParam=0
DEBUG 2018-03-24 22:36:31[6820] : CDuiHandlerMain::OnDuiMessage:uID=1189, name=ie_ctrl, msg=102, wParam=17815200, lParam=0
DEBUG 2018-03-24 22:36:31[6820] : CDuiHandlerMain::OnDuiMessage:uID=1189, name=ie_ctrl, msg=108, wParam=17821640, lParam=0
DEBUG 2018-03-24 22:36:31[6820] : CDuiHandlerMain::OnDuiMessage:uID=1189, name=ie_ctrl, msg=102, wParam=17815160, lParam=0
DEBUG 2018-03-24 22:36:31[6820] : CDuiHandlerMain::OnDuiMessage:uID=1189, name=ie_ctrl, msg=-709, wParam=17820788, lParam=17820872
DEBUG 2018-03-24 22:36:31[6820] : CDuiHandlerMain::OnDuiMessage:uID=1189, name=ie_ctrl, msg=-709, wParam=17820716, lParam=17820800
DEBUG 2018-03-24 22:36:31[6820] : CDuiHandlerMain::OnDuiMessage:uID=1189, name=ie_ctrl, msg=-5512, wParam=17820756, lParam=17820848
DEBUG 2018-03-24 22:36:31[6820] : CDuiHandlerMain::OnDuiMessage:uID=1189, name=ie_ctrl, msg=-5513, wParam=17820716, lParam=17820800
DEBUG 2018-03-24 22:36:31[6820] : CDuiHandlerMain::OnDuiMessage:uID=1189, name=ie_ctrl, msg=270, wParam=17817032, lParam=0
DEBUG 2018-03-24 22:36:31[6820] : CDuiHandlerMain::OnDuiMessage:uID=1189, name=ie_ctrl, msg=104, wParam=17811044, lParam=0
DEBUG 2018-03-24 22:36:31[6820] : CDuiHandlerMain::OnDuiMessage:uID=1189, name=ie_ctrl, msg=102, wParam=17810648, lParam=0
DEBUG 2018-03-24 22:36:31[6820] : CDuiHandlerMain::OnDuiMessage:uID=1189, name=ie_ctrl, msg=102, wParam=17810592, lParam=0
DEBUG 2018-03-24 22:36:31[6820] : CDuiHandlerMain::OnDuiMessage:uID=1189, name=ie_ctrl, msg=108, wParam=17816336, lParam=0
DEBUG 2018-03-24 22:36:31[6820] : CDuiHandlerMain::OnDuiMessage:uID=1189, name=ie_ctrl, msg=106, wParam=17820748, lParam=0
DEBUG 2018-03-24 22:36:31[6820] : CDuiHandlerMain::OnDuiMessage:uID=1191, name=webkit_ctrl, msg=14, wParam=100, lParam=2126161632
DEBUG 2018-03-24 22:36:31[6820] : CDuiHandlerMain::OnDuiMessage:uID=1191, name=webkit_ctrl, msg=14, wParam=101, lParam=2126675840
DEBUG 2018-03-24 22:36:31[6820] : CDuiHandlerMain::OnDuiMessage:uID=1189, name=ie_ctrl, msg=108, wParam=17816336, lParam=0
DEBUG 2018-03-24 22:36:33[6820] : CDuiHandlerMain::OnDuiMessage:uID=1030, name=tabctrl.main, msg=1, wParam=1, lParam=0
DEBUG 2018-03-24 22:36:34[6820] : CDuiHandlerMain::OnDuiMessage:uID=1030, name=tabctrl.main, msg=1, wParam=2, lParam=0
DEBUG 2018-03-24 22:36:34[6820] : CDuiHandlerMain::OnDuiMessage:uID=1030, name=tabctrl.main, msg=1, wParam=3, lParam=0
DEBUG 2018-03-24 22:36:35[6820] : CDuiHandlerMain::OnDuiMessage:uID=1030, name=tabctrl.main, msg=1, wParam=4, lParam=0
DEBUG 2018-03-24 22:36:35[6820] : CDuiHandlerMain::OnDuiMessage:uID=1030, name=tabctrl.main, msg=1, wParam=1, lParam=0
DEBUG 2018-03-24 22:36:36[6820] : CDuiHandlerMain::OnDuiMessage:uID=1030, name=tabctrl.main, msg=1, wParam=0, lParam=0
DEBUG 2018-03-24 22:36:37[6820] : CDuiHandlerMain::OnDuiMessage:uID=1087, name=edit1, msg=19, wParam=0, lParam=0
DEBUG 2018-03-24 22:36:37[6820] : CDuiHandlerMain::OnDuiMessage:uID=1087, name=edit1, msg=19, wParam=0, lParam=0
DEBUG 2018-03-24 22:36:37[6820] : CDuiHandlerMain::OnDuiMessage:uID=1087, name=edit1, msg=19, wParam=0, lParam=0
DEBUG 2018-03-24 22:36:38[6820] : CDuiHandlerMain::OnDuiMessage:uID=1087, name=edit1, msg=19, wParam=0, lParam=0
DEBUG 2018-03-24 22:36:38[6820] : CDuiHandlerMain::OnDuiMessage:uID=1087, name=edit1, msg=19, wParam=0, lParam=0
DEBUG 2018-03-24 22:36:38[6820] : CDuiHandlerMain::OnDuiMessage:uID=1087, name=edit1, msg=19, wParam=0, lParam=0
DEBUG 2018-03-24 22:36:38[6820] : CDuiHandlerMain::OnDuiMessage:uID=1087, name=edit1, msg=19, wParam=0, lParam=0
DEBUG 2018-03-24 22:36:38[6820] : CDuiHandlerMain::OnDuiMessage:uID=1087, name=edit1, msg=19, wParam=0, lParam=0
DEBUG 2018-03-24 22:36:39[6820] : CDuiHandlerMain::OnDuiMessage:uID=1087, name=edit1, msg=19, wParam=0, lParam=0
DEBUG 2018-03-24 22:36:39[6820] : CDuiHandlerMain::OnDuiMessage:uID=1087, name=edit1, msg=19, wParam=0, lParam=0
DEBUG 2018-03-24 22:36:39[6820] : CDuiHandlerMain::OnDuiMessage:uID=1087, name=edit1, msg=19, wParam=0, lParam=0
DEBUG 2018-03-24 22:36:39[6820] : CDuiHandlerMain::OnDuiMessage:uID=1087, name=edit1, msg=19, wParam=0, lParam=0
DEBUG 2018-03-24 22:36:40[6820] : CDuiHandlerMain::OnDuiMessage:uID=1087, name=edit1, msg=19, wParam=0, lParam=0
DEBUG 2018-03-24 22:36:40[6820] : CDuiHandlerMain::OnDuiMessage:uID=1087, name=edit1, msg=19, wParam=0, lParam=0
DEBUG 2018-03-24 22:36:40[6820] : CDuiHandlerMain::OnDuiMessage:uID=1189, name=ie_ctrl, msg=108, wParam=17816336, lParam=0
DEBUG 2018-03-24 22:36:40[6820] : CDuiHandlerMain::OnDuiMessage:uID=1189, name=ie_ctrl, msg=108, wParam=17816336, lParam=0
DEBUG 2018-03-24 22:36:40[6820] : CDuiHandlerMain::OnDuiMessage:uID=1189, name=ie_ctrl, msg=108, wParam=17816336, lParam=0
DEBUG 2018-03-24 22:36:40[6820] : CDuiHandlerMain::OnDuiMessage:uID=1189, name=ie_ctrl, msg=108, wParam=17816336, lParam=0
DEBUG 2018-03-24 22:36:40[6820] : CDuiHandlerMain::OnDuiMessage:uID=1030, name=tabctrl.main, msg=1, wParam=1, lParam=0
DEBUG 2018-03-24 22:36:41[6820] : CDuiHandlerMain::OnDuiMessage:uID=1189, name=ie_ctrl, msg=108, wParam=17816336, lParam=0
DEBUG 2018-03-24 22:36:41[6820] : CDuiHandlerMain::OnDuiMessage:uID=1189, name=ie_ctrl, msg=108, wParam=17816336, lParam=0
DEBUG 2018-03-24 22:36:41[6820] : CDuiHandlerMain::OnDuiMessage:uID=1189, name=ie_ctrl, msg=108, wParam=17816336, lParam=0
DEBUG 2018-03-24 22:36:41[6820] : CDuiHandlerMain::OnDuiMessage:uID=1189, name=ie_ctrl, msg=108, wParam=17816336, lParam=0
DEBUG 2018-03-24 22:36:41[6820] : CDuiHandlerMain::OnDuiMessage:uID=1189, name=ie_ctrl, msg=108, wParam=17816336, lParam=0
DEBUG 2018-03-24 22:36:41[6820] : CDuiHandlerMain::OnDuiMessage:uID=1189, name=ie_ctrl, msg=108, wParam=17816336, lParam=0
DEBUG 2018-03-24 22:36:41[6820] : CDuiHandlerMain::OnDuiMessage:uID=1189, name=ie_ctrl, msg=108, wParam=17816336, lParam=0
DEBUG 2018-03-24 22:36:41[6820] : CDuiHandlerMain::OnDuiMessage:uID=1189, name=ie_ctrl, msg=108, wParam=17816336, lParam=0
DEBUG 2018-03-24 22:36:41[6820] : CDuiHandlerMain::OnDuiMessage:uID=1189, name=ie_ctrl, msg=108, wParam=17816336, lParam=0
DEBUG 2018-03-24 22:36:41[6820] : CDuiHandlerMain::OnDuiMessage:uID=1189, name=ie_ctrl, msg=269, wParam=17820912, lParam=0
DEBUG 2018-03-24 22:36:41[6820] : CDuiHandlerMain::OnDuiMessage:uID=1189, name=ie_ctrl, msg=269, wParam=17821080, lParam=0
DEBUG 2018-03-24 22:36:41[6820] : CDuiHandlerMain::OnDuiMessage:uID=1189, name=ie_ctrl, msg=102, wParam=17820480, lParam=0
DEBUG 2018-03-24 22:36:41[6820] : CDuiHandlerMain::OnDuiMessage:uID=1189, name=ie_ctrl, msg=105, wParam=17812164, lParam=0
DEBUG 2018-03-24 22:36:41[6820] : CDuiHandlerMain::OnDuiMessage:uID=1189, name=ie_ctrl, msg=105, wParam=17812164, lParam=0
DEBUG 2018-03-24 22:36:41[6820] : CDuiHandlerMain::OnDuiMessage:uID=1189, name=ie_ctrl, msg=102, wParam=17805744, lParam=0
DEBUG 2018-03-24 22:36:41[6820] : CDuiHandlerMain::OnDuiMessage:uID=1189, name=ie_ctrl, msg=102, wParam=17810480, lParam=0
DEBUG 2018-03-24 22:36:41[6820] : CDuiHandlerMain::OnDuiMessage:uID=1189, name=ie_ctrl, msg=269, wParam=17811496, lParam=0
DEBUG 2018-03-24 22:36:41[6820] : CDuiHandlerMain::OnDuiMessage:uID=1189, name=ie_ctrl, msg=269, wParam=17811664, lParam=0
DEBUG 2018-03-24 22:36:41[6820] : CDuiHandlerMain::OnDuiMessage:uID=1189, name=ie_ctrl, msg=105, wParam=17812244, lParam=0
DEBUG 2018-03-24 22:36:41[6820] : CDuiHandlerMain::OnDuiMessage:uID=1189, name=ie_ctrl, msg=105, wParam=17812244, lParam=0
DEBUG 2018-03-24 22:36:41[6820] : CDuiHandlerMain::OnDuiMessage:uID=1189, name=ie_ctrl, msg=105, wParam=17812280, lParam=0
DEBUG 2018-03-24 22:36:41[6820] : CDuiHandlerMain::OnDuiMessage:uID=1189, name=ie_ctrl, msg=113, wParam=17811960, lParam=0
DEBUG 2018-03-24 22:36:41[6820] : CDuiHandlerMain::OnDuiMessage:uID=1189, name=ie_ctrl, msg=252, wParam=17811944, lParam=0
DEBUG 2018-03-24 22:36:41[6820] : CDuiHandlerMain::OnDuiMessage:uID=1189, name=ie_ctrl, msg=269, wParam=17806440, lParam=0
DEBUG 2018-03-24 22:36:41[6820] : CDuiHandlerMain::OnDuiMessage:uID=1189, name=ie_ctrl, msg=269, wParam=17806608, lParam=0
DEBUG 2018-03-24 22:36:41[6820] : CDuiHandlerMain::OnDuiMessage:uID=1189, name=ie_ctrl, msg=108, wParam=17815376, lParam=0
DEBUG 2018-03-24 22:36:41[6820] : CDuiHandlerMain::OnDuiMessage:uID=1189, name=ie_ctrl, msg=102, wParam=17820240, lParam=0
DEBUG 2018-03-24 22:36:41[6820] : CDuiHandlerMain::OnDuiMessage:uID=1189, name=ie_ctrl, msg=108, wParam=17815376, lParam=0
DEBUG 2018-03-24 22:36:41[6820] : CDuiHandlerMain::OnDuiMessage:uID=1189, name=ie_ctrl, msg=105, wParam=17822568, lParam=0
